slug,title,cover,existing_inline_image_count,audit_status,video_url
castello-di-montecchio-vesponi-the-forgotten-fortress-above-tuscany-s-lost-lake,Castello di Montecchio Vesponi: The Forgotten Fortress Above Tuscany's Lost Lake,/images/posts/castello-di-montecchio-vesponi-the-forgotten-fortress-above-tuscany-s-lost-lake.jpg,4,generally sufficient,https://orjsrwlemsxjyexqbfqo.supabase.co/storage/v1/object/public/blog-videos/castello-montecchio.mp4
madrid-to-granada-by-train-from-royal-spain-to-moorish-spain-in-just-a-few-hours,Madrid to Granada by Train: From Royal Spain to Moorish Spain in Just a Few Hours,/images/posts/madrid-to-granada-by-train-from-royal-spain-to-moorish-spain-in-just-a-few-hours.jpg,3,generally sufficient,
bilbao-to-santiago-de-compostela-by-train-spain-s-most-underrated-rail-journey,Bilbao to Santiago de Compostela by Train: Spain's Most Underrated Rail Journey,/images/posts/bilbao-to-santiago-de-compostela-by-train-spain-s-most-underrated-rail-journey.jpg,4,generally sufficient,
hospices-de-beaune-burgundy-s-most-remarkable-building-and-the-perfect-rail-day-trip,Hospices de Beaune: Burgundy's Most Remarkable Building and the Perfect Rail Day Trip,/images/posts/hospices-de-beaune-burgundy-s-most-remarkable-building-and-the-perfect-rail-day-.jpg,0,needs images,https://orjsrwlemsxjyexqbfqo.supabase.co/storage/v1/object/public/blog-videos/beaune-hospices.mp4
san-vito-lo-capo-sicily-s-most-beautiful-coastline-without-hiring-a-car,San Vito Lo Capo: Sicily's Most Beautiful Coastline Without Hiring a Car,/images/posts/san-vito-lo-capo-sicily-s-most-beautiful-coastline-without-hiring-a-car.jpg,0,needs images,https://orjsrwlemsxjyexqbfqo.supabase.co/storage/v1/object/public/blog-videos/san-vito-lo-capo.mp4
locarno-by-train-switzerland-s-most-atmospheric-lakeside-town,Locarno by Train: Switzerland's Most Atmospheric Lakeside Town,/images/posts/locarno-by-train-switzerland-s-most-atmospheric-lakeside-town.jpg,0,needs images,https://orjsrwlemsxjyexqbfqo.supabase.co/storage/v1/object/public/blog-videos/locarno.mp4
milan-to-palermo-by-night-train-crossing-italy-and-sailing-to-sicily,Milan to Palermo by Night Train: Crossing Italy and Sailing to Sicily,/images/posts/milan-to-palermo-by-night-train-crossing-italy-and-sailing-to-sicily.jpg,9,generally sufficient,
the-bernina-route-by-train-switzerland-to-italy-the-smart-way,The Bernina Route by Train: Switzerland to Italy the Smart Way,/images/posts/the-bernina-route-by-train-switzerland-to-italy-the-smart-way.jpg,0,needs images,
the-coastal-train-from-nice-to-menton-the-french-riviera-by-rail,The Coastal Train from Nice to Menton: The French Riviera by Rail,/images/posts/the-coastal-train-from-nice-to-menton-the-french-riviera-by-rail.jpg,0,needs images,
palermo-beyond-the-obvious-part-2-a-palace-of-power-silence-and-stories-that-haven-t-faded,"Palermo Beyond the Obvious — (Part 2): A Palace of Power, Silence, and Stories That Haven’t Faded",/images/posts/palermo-beyond-the-obvious-part-2-a-palace-of-power-silence-and-stories-that-hav.jpg,0,needs images,https://orjsrwlemsxjyexqbfqo.supabase.co/storage/v1/object/public/blog-videos/palazzo-steri.mp4
palazzo-butera-palermo-s-most-surprising-museum-where-baroque-meets-the-unexpected,"Palermo Beyond the Obvious (Part 1): Palazzo Butera — A Hidden Palace of Art, Silence and Surprise",/images/posts/palazzo-butera-palermo-s-most-surprising-museum-where-baroque-meets-the-unexpect.jpg,0,needs images,https://orjsrwlemsxjyexqbfqo.supabase.co/storage/v1/object/public/blog-videos/butara-palace.mp4
lille-by-train-france-s-most-underrated-weekend-city,Lille by Train: France’s Most Underrated Weekend City,/images/posts/lille-by-train-france-s-most-underrated-weekend-city.jpg,0,needs images,
venice-to-zurich-on-the-nightjet-crossing-the-alps-overnight,Venice to Zurich on the Nightjet: Crossing the Alps Overnight,/images/posts/venice-to-zurich-on-the-nightjet-crossing-the-alps-overnight.jpg,1,review/add images,
the-norman-palace-and-palatine-chapel-palermo-sicily-s-most-extraordinary-interior,"The Norman Palace and Palatine Chapel, Palermo: Sicily’s Most Extraordinary Interior",/images/posts/the-norman-palace-and-palatine-chapel-palermo-sicily-s-most-extraordinary-interi.jpg,0,needs images,https://orjsrwlemsxjyexqbfqo.supabase.co/storage/v1/object/public/blog-videos/palatine-chapel-palermo.mp4
zurich-to-rome-on-the-nightjet-crossing-the-alps-overnight,Zurich to Rome on the Nightjet: Crossing the Alps Overnight,/images/posts/zurich-to-rome-on-the-nightjet-crossing-the-alps-overnight.jpg,0,needs images,
paris-to-nice-by-night-train-the-civilised-way-to-reach-the-riviera,Paris to Nice by Night Train: The Civilised Way to Reach the Riviera,/images/posts/paris-to-nice-by-night-train-the-civilised-way-to-reach-the-riviera.jpg,0,needs images,
is-this-the-world-s-most-beautiful-cathedral-discovering-monreale-cathedral-above-palermo,Is This the World’s Most Beautiful Cathedral? Discovering Monreale Cathedral Above Palermo,/images/posts/is-this-the-world-s-most-beautiful-cathedral-discovering-monreale-cathedral-abov.jpg,0,needs images,https://orjsrwlemsxjyexqbfqo.supabase.co/storage/v1/object/public/blog-videos/monreale-photo.mp4
vicenza-italy-palladian-elegance-without-the-crowds,"Vicenza, Italy – Palladian Elegance Without the Crowds",/images/posts/vicenza-italy-palladian-elegance-without-the-crowds.jpg,0,needs images,
bern-switzerland-a-perfect-spring-city-break-by-train,"Bern, Switzerland – A Perfect Spring City Break by Train",/images/posts/bern-switzerland-a-perfect-spring-city-break-by-train.jpg,0,needs images,
golden-hour-in-nîmes-a-roman-city-without-the-crowds,Golden Hour in Nîmes: A Roman City Without the Crowds,/images/posts/golden-hour-in-nimes-a-roman-city-without-the-crowds.jpg,0,needs images,
interlaken-by-train-a-spring-escape-into-the-heart-of-the-swiss-alps,Interlaken by Train: A Spring Escape Into the Heart of the Swiss Alps,/images/posts/interlaken-by-train-a-spring-escape-into-the-heart-of-the-swiss-alps.jpg,0,needs images,
pisa-the-tuscan-coast-by-train-a-slower-spring-escape-in-italy,Pisa & the Tuscan Coast by Train: A Slower Spring Escape in Italy,/images/posts/pisa-the-tuscan-coast-by-train-a-slower-spring-escape-in-italy.jpg,0,needs images,
le-puy-en-velay-by-train-a-wild-spiritual-escape-in-spring,"Le Puy-en-Velay by Train: A Wild, Spiritual Escape in Spring",/images/posts/le-puy-en-velay-by-train-a-wild-spiritual-escape-in-spring.jpg,0,needs images,
a-long-weekend-in-lugano-mediterranean-vibes-meets-alpine-scenery,A Long Weekend in Lugano: Mediterranean Vibes Meets Alpine Scenery,/images/posts/a-long-weekend-in-lugano-mediterranean-vibes-meets-alpine-scenery.jpg,0,needs images,
spring-walking-escape-on-the-massa-lubrense-peninsula,Spring Walking Escape on the Massa Lubrense Peninsula,/images/posts/spring-walking-escape-on-the-massa-lubrense-peninsula.jpg,1,review/add images,https://orjsrwlemsxjyexqbfqo.supabase.co/storage/v1/object/public/blog-videos/massa-lubrense.mp4
a-spring-weekend-in-montpellier-sun-sea-air-southern-french-energy-by-train,"A Spring Weekend in Montpellier: Sun, Sea Air & Southern French Energy by Train",/images/posts/a-spring-weekend-in-montpellier-sun-sea-air-southern-french-energy-by-train.jpg,0,needs images,
a-perfect-day-trip-to-florence-by-train-art-history-authentic-tuscan-flavours,"A Perfect Day Trip to Florence by Train: Art, History & Authentic Tuscan Flavours",/images/posts/a-perfect-day-trip-to-florence-by-train-art-history-authentic-tuscan-flavours.jpg,3,generally sufficient,
a-spring-weekend-in-basel-art-river-walks-hidden-corners,"A Spring Weekend in Basel: Art, River Walks & Hidden Corners",/images/posts/a-spring-weekend-in-basel-art-river-walks-hidden-corners.jpg,0,needs images,
geneva-in-spring-a-lakeside-food-walking-weekend-by-train,Geneva in Spring: A Lakeside Food & Walking Weekend by Train,/images/posts/geneva-in-spring-a-lakeside-food-walking-weekend-by-train.jpg,0,needs images,
naples-in-spring-a-foodie-weekend-by-train,Naples in Spring: A Foodie Weekend by Train,/images/posts/naples-in-spring-a-foodie-weekend-by-train.jpg,2,generally sufficient,
lyon-in-spring-a-perfect-food-walking-weekend-by-train,Lyon in Spring: A Perfect Food & Walking Weekend by Train,/images/posts/lyon-in-spring-a-perfect-food-walking-weekend-by-train.jpg,1,review/add images,
a-perfect-weekend-in-rouen-by-train,Rouen in Spring: A Historic Normandy Escape by Train,/images/posts/a-perfect-weekend-in-rouen-by-train.jpg,1,review/add images,
the-goldenpass-line-in-spring-switzerland-s-most-elegant-scenic-rail-journey,The GoldenPass Line in Spring: Switzerland’s Most Elegant Scenic Rail Journey,/images/posts/the-goldenpass-line-in-spring-switzerland-s-most-elegant-scenic-rail-journey.jpg,0,needs images,
ravenna-in-spring-mosaics-quiet-streets-adriatic-walks-by-train,"Ravenna in Spring: Mosaics, Quiet Streets & Adriatic Walks by Train",/images/posts/ravenna-in-spring-mosaics-quiet-streets-adriatic-walks-by-train.jpg,1,review/add images,
a-perfect-weekend-in-lucerne-without-a-car,A Perfect Spring Weekend in Lucerne — Without a Car,/images/posts/a-perfect-weekend-in-lucerne-without-a-car.jpg,0,needs images,
nantes-the-atlantic-coast-in-spring-a-perfect-car-free-escape,Nantes & the Atlantic Coast in Spring: A Perfect Car-Free Escape,/images/posts/nantes-the-atlantic-coast-in-spring-a-perfect-car-free-escape.jpg,1,review/add images,
italy-s-great-scenic-rail-journeys-milan-to-tirano-in-spring,Italy’s Great Scenic Rail Journeys: Milan to Tirano in Spring,/images/posts/italy-s-great-scenic-rail-journeys-milan-to-tirano-in-spring.jpg,0,needs images,
colmar-in-spring-a-fairytale-alsace-escape-by-train,Colmar in Spring: A Fairytale Alsace Escape by Train,/images/posts/colmar-in-spring-a-fairytale-alsace-escape-by-train.jpg,0,needs images,
walking-the-amalfi-coast-in-spring-best-hikes-where-to-stay-travel-tips,"Walking the Amalfi Coast in Spring: Best Hikes, Where to Stay & Travel Tips",/images/posts/walking-the-amalfi-coast-in-spring-best-hikes-where-to-stay-travel-tips.jpg,0,needs images,
a-spring-journey-into-the-pyrenees-toulouse-to-latour-de-carol-by-train,A Spring Journey into the Pyrenees: Toulouse to Latour-de-Carol by Train,/images/posts/a-spring-journey-into-the-pyrenees-toulouse-to-latour-de-carol-by-train.jpg,0,needs images,
the-glacier-express-what-it-s-really-like-and-is-it-worth-it,The Glacier Express: What It’s Really Like (And Is It Worth It?),/images/posts/the-glacier-express-what-it-s-really-like-and-is-it-worth-it.jpg,0,needs images,
cinque-terre-by-train-in-spring-best-places-to-visit-travel-tips-walks-where-to-stay,"Cinque Terre by Train in Spring: Best Places to Visit, Travel Tips, Walks & Where to Stay",/images/posts/cinque-terre-by-train-in-spring-best-places-to-visit-travel-tips-walks-where-to-.jpg,0,needs images,
the-bernina-express-europe-s-most-beautiful-train-ride,The Bernina Express: Europe’s Most Beautiful Train Ride?,/images/posts/the-bernina-express-europe-s-most-beautiful-train-ride.jpg,0,needs images,
7-reasons-switzerland-is-the-best-country-to-explore-by-train,7 Reasons Switzerland Is the Best Country to Explore by Train,/images/posts/7-reasons-switzerland-is-the-best-country-to-explore-by-train.jpg,0,needs images,
aix-en-provence-sunlit-streets-and-provençal-elegance,Aix-en-Provence: Sunlit Streets and Provençal Elegance,/images/posts/aix-en-provence-sunlit-streets-and-provencal-elegance.jpg,0,needs images,
genoa-italy-s-grand-maritime-city-of-palaces-and-hidden-streets,Genoa: Italy’s Grand Maritime City of Palaces and Hidden Streets,/images/posts/genoa-italy-s-grand-maritime-city-of-palaces-and-hidden-streets.jpg,1,review/add images,
toulouse-france-s-rose-coloured-city-of-history-and-innovation,Toulouse: France’s Rose-Coloured City of History and Innovation,/images/posts/toulouse-france-s-rose-coloured-city-of-history-and-innovation.jpg,1,review/add images,
lucca-tuscany-s-perfect-walled-city,Lucca: Explore Tuscany’s Perfect Walled City,/images/posts/lucca-tuscany-s-perfect-walled-city.jpg,1,review/add images,
turin-italy-s-elegant-northern-capital-of-chocolate-cafés-and-royal-palaces,"Turin: Italy’s Elegant Northern Capital of Chocolate, Cafés and Royal Palaces",/images/posts/turin-italy-s-elegant-northern-capital-of-chocolate-cafes-and-royal-palaces.jpg,1,review/add images,
poitiers-a-medieval-jewel-in-western-france,Poitiers: A Medieval Jewel in Western France,/images/posts/poitiers-a-medieval-jewel-in-western-france.jpg,0,needs images,
orvieto-italy-s-dramatic-hill-town-above-the-umbrian-plains,Orvieto: Italy’s Dramatic Hill Town Above the Umbrian Plains,/images/posts/orvieto-italy-s-dramatic-hill-town-above-the-umbrian-plains.jpg,1,review/add images,
a-perfect-weekend-in-nantes-by-train-creative-energy-river-light-atlantic-flavours,"A Perfect Weekend in Nantes by Train: Creative Energy, River Light & Atlantic Flavours",/images/posts/a-perfect-weekend-in-nantes-by-train-creative-energy-river-light-atlantic-flavou.jpg,1,review/add images,
5-easy-day-trips-from-bordeaux-by-trainwine-villages-atlantic-air-medieval-streets,"5 Easy Day Trips from Bordeaux by Train: Wine Villages, Atlantic Air & Medieval Streets",/images/posts/5-easy-day-trips-from-bordeaux-by-trainwine-villages-atlantic-air-medieval-stree.jpg,1,review/add images,
a-perfect-weekend-in-le-marche-renaissance-beauty-without-the-crowds,A Perfect Weekend in Le Marche: Renaissance Beauty Without the Crowds,/images/posts/a-perfect-weekend-in-le-marche-renaissance-beauty-without-the-crowds.jpg,0,needs images,
the-cevennes-line-by-train-a-scenic-rail-journey-from-clermont-ferrand-to-nimes,The Cevennes Line by Train: A Scenic Rail Journey from Clermont-Ferrand to Nimes,/images/posts/the-cevennes-line-by-train-a-scenic-rail-journey-from-clermont-ferrand-to-nimes.jpg,2,generally sufficient,
perfect-weekend-in-tours-by-train-loire-valley-castles-markets-riverfront-walks,"Perfect Weekend in Tours by Train: Loire Valley Castles, Markets & Riverfront Walks",/images/posts/perfect-weekend-in-tours-by-train-loire-valley-castles-markets-riverfront-walks.jpg,1,review/add images,
5-easy-day-trips-from-venice-by-train,5 Easy Day Trips from Venice by Train,/images/posts/5-easy-day-trips-from-venice-by-train.jpg,5,generally sufficient,
normandy-day-trips-from-paris-by-train-history-coastline-and-charming-towns,"Normandy Day Trips from Paris by Train: History, Coastline and Charming Towns",/images/posts/normandy-day-trips-from-paris-by-train-history-coastline-and-charming-towns.jpg,1,review/add images,
cefalù-by-train-from-palermo-sicily-s-seaside-escape-in-under-an-hour,Cefalù by Train from Palermo: Sicily’s Seaside Escape in Under an Hour,/images/posts/cefalu-by-train-from-palermo-sicily-s-seaside-escape-in-under-an-hour.jpg,0,needs images,
the-côte-d-azur-railway-iconic-mediterranean-scenery-from-nice-to-menton,The Côte d’Azur Railway – Iconic Mediterranean Scenery from Nice to Menton,/images/posts/the-cote-d-azur-railway-iconic-mediterranean-scenery-from-nice-to-menton.jpg,1,review/add images,
the-yellow-train-train-jaune-france-s-most-dramatic-mountain-railway,The Yellow Train ( Train Jaune ): France's Most Dramatic Mountain Railway,/images/posts/the-yellow-train-train-jaune-france-s-most-dramatic-mountain-railway.jpg,1,review/add images,
escape-the-carnival-crowds-a-quiet-morning-at-san-nicolò-dei-mendicoli-dorsoduro,"Escape the Carnival Crowds: A Quiet Morning at San Nicolò dei Mendicoli, Dorsoduro",/images/posts/escape-the-carnival-crowds-a-quiet-morning-at-san-nicolo-dei-mendicoli-dorsoduro.jpg,2,generally sufficient,https://orjsrwlemsxjyexqbfqo.supabase.co/storage/v1/object/public/blog-videos/chiesa-di-san-nicolo.mp4
5-easy-day-trips-from-lyon-by-train,5 Easy Day Trips from Lyon by Train,/images/posts/5-easy-day-trips-from-lyon-by-train.jpg,1,review/add images,
a-perfect-day-trip-from-venice-to-padova-padua-by-train,"The Perfect Day Trip to Padova (Padua) by Train: Giotto, Grand Basilicas, Riverside strolls & some of the Veneto's best food",/images/posts/a-perfect-day-trip-from-venice-to-padova-padua-by-train.jpg,4,generally sufficient,https://orjsrwlemsxjyexqbfqo.supabase.co/storage/v1/object/public/blog-videos/giotto-church.mp4
5-easy-day-trips-from-paris-by-train-reachable-in-under-an-hour,5 Easy Day Trips from Paris by Train reachable in under an hour!,/images/posts/5-easy-day-trips-from-paris-by-train-reachable-in-under-an-hour.jpg,0,needs images,
perfect-winter-weekend-in-lecce-by-train-baroque-beauty-quiet-streets-southern-warmth,"Perfect Winter Weekend in Lecce by Train: Baroque Beauty, Quiet Streets & Southern Light",/images/posts/perfect-winter-weekend-in-lecce-by-train-baroque-beauty-quiet-streets-southern-w.jpg,1,review/add images,
the-perfect-weekend-in-avignon-by-train,"A Perfect Weekend in Avignon by Train: History, Wine & Provençal Charm",/images/posts/the-perfect-weekend-in-avignon-by-train.jpg,1,review/add images,
5-easy-day-trips-from-naples-by-train,5 Easy Day Trips from Naples by Train,/images/posts/5-easy-day-trips-from-naples-by-train.jpg,1,review/add images,
the-brittany-coast-by-train-wild-atlantic-scenery-from-saint-brieuc-to-brest,The Brittany Coast by Train : Wild Atlantic scenery from Saint-Brieuc to Brest,/images/posts/the-brittany-coast-by-train-wild-atlantic-scenery-from-saint-brieuc-to-brest.jpg,1,review/add images,
the-bernina-line-from-italy-one-of-europe-s-most-spectacular-rail-journeys,The Bernina Line from Italy: One of Europe's Most Spectacular Rail Journeys,/images/posts/the-bernina-line-from-italy-one-of-europe-s-most-spectacular-rail-journeys.jpg,1,review/add images,
a-weekend-in-beaune-by-train-burgundy-wine-history-old-town-charm,"A Weekend in Beaune by Train: Burgundy Wine, History & Old Town Charm",/images/posts/a-weekend-in-beaune-by-train-burgundy-wine-history-old-town-charm.jpg,1,review/add images,
milan-to-bolzano-by-train-a-scenic-rail-journey-into-the-dolomites,Milan to Bolzano by Train: A Scenic Rail Journey into the Dolomites,/images/posts/milan-to-bolzano-by-train-a-scenic-rail-journey-into-the-dolomites.jpg,1,review/add images,
perfect-weekend-in-orléans-by-train-joan-of-arc-the-loire-and-a-refined-french-city-break,Perfect Weekend in Orléans by Train,/images/posts/perfect-weekend-in-orleans-by-train-joan-of-arc-the-loire-and-a-refined-french-c.jpg,1,review/add images,
5-easy-day-trips-from-milan-by-train,5 Easy Day Trips from Milan by Train,/images/posts/5-easy-day-trips-from-milan-by-train.jpg,1,review/add images,
a-perfect-weekend-in-marseille-by-train-coastline-culture-mediterranean-food,"A Perfect Weekend in Marseille by Train: Coastline, Culture & Mediterranean Food",/images/posts/a-perfect-weekend-in-marseille-by-train-coastline-culture-mediterranean-food.jpg,0,needs images,
the-perfect-weekend-in-the-loire-valley-by-train-castles-vineyards-and-river-views,"The Perfect Weekend in the Loire Valley by Train: Castles, Vineyards and River Views",/images/posts/the-perfect-weekend-in-the-loire-valley-by-train-castles-vineyards-and-river-vie.jpg,0,needs images,
a-perfect-weekend-in-annecy-by-train-lakeside-beauty-alpine-air-medieval-charm,"A Perfect Weekend in Annecy by Train: Lakeside Beauty, Alpine Air & Medieval Charm",/images/posts/a-perfect-weekend-in-annecy-by-train-lakeside-beauty-alpine-air-medieval-charm.jpg,1,review/add images,
a-weekend-in-arles-by-train-roman-ruins-provencal-charm-van-gogh-landscapes,"A Weekend in Arles by Train: Roman Ruins, Provencal Charm & Van Gogh Landscapes",/images/posts/a-weekend-in-arles-by-train-roman-ruins-provencal-charm-van-gogh-landscapes.jpg,1,review/add images,
a-perfect-weekend-in-parma-by-train-food-capital-art-treasures-elegant-streets-await,"A Perfect Weekend in Parma by Train: Foodie Pleasures, Art Treasures & Elegant Streets await!",/images/posts/a-perfect-weekend-in-parma-by-train-food-capital-art-treasures-elegant-streets-a.jpg,1,review/add images,
the-perfect-weekend-in-bordeaux-by-train-wine-riverfront-walks-and-historic-charm,"The Perfect Weekend in Bordeaux by Train: Wine, Riverfront Walks and Historic Charm",/images/posts/the-perfect-weekend-in-bordeaux-by-train-wine-riverfront-walks-and-historic-char.jpg,0,needs images,
sorrento-weekend-spring-2026-how-to-plan-the-perfect-coastal-escape-by-train,Sorrento Weekend Spring 2026 – How to Plan the Perfect Coastal Escape by Train,/images/posts/sorrento-weekend-spring-2026-how-to-plan-the-perfect-coastal-escape-by-train.jpg,1,review/add images,https://orjsrwlemsxjyexqbfqo.supabase.co/storage/v1/object/public/blog-videos/view-sorrento.mp4
5-easy-day-trips-from-florence-by-train,5 Easy Day Trips from Florence by Train reachable in under an hour!,/images/posts/5-easy-day-trips-from-florence-by-train.jpg,0,needs images,
white-truffle-hunting-in-the-crete-senesi-autumn-s-most-magical-tuscan-experience,White Truffle Hunting in the Crete Senesi: Autumn’s Most Magical Tuscan Experience,/images/posts/white-truffle-hunting-in-the-crete-senesi-autumn-s-most-magical-tuscan-experienc.jpg,1,review/add images,
exploring-the-val-di-chiana-hidden-tuscany-by-train,Exploring the Val di Chiana: Hidden Tuscany by Train!,/images/posts/exploring-the-val-di-chiana-hidden-tuscany-by-train.jpg,2,generally sufficient,
the-piero-della-francesca-trail-art-hill-towns-from-arezzo,The Piero della Francesca Trail: Art & Hill Towns from Arezzo,/images/posts/the-piero-della-francesca-trail-art-hill-towns-from-arezzo.jpg,2,generally sufficient,
a-weekend-in-naples-culture-chaos-culinary-magic,"A Weekend in Naples: Culture, Chaos & Culinary Magic",/images/posts/a-weekend-in-naples-culture-chaos-culinary-magic.jpg,2,generally sufficient,
gubbio-a-medieval-jewel-in-umbria-s-hills,Gubbio: A Medieval Jewel in Umbria’s Hills,/images/posts/gubbio-a-medieval-jewel-in-umbria-s-hills.jpg,0,needs images,
matera-italy-s-city-of-stone-and-light,Matera: Italy’s City of Stone and Light,/images/posts/matera-italy-s-city-of-stone-and-light.jpg,1,review/add images,https://orjsrwlemsxjyexqbfqo.supabase.co/storage/v1/object/public/blog-videos/matera.mp4
exploring-the-aeolian-islands-seven-volcanic-jewels-off-sicily-s-coast,Exploring the Aeolian Islands: Seven Volcanic Jewels off Sicily’s Coast,/images/posts/exploring-the-aeolian-islands-seven-volcanic-jewels-off-sicily-s-coast.jpg,3,generally sufficient,
genoa-italy-s-underrated-maritime-gem,Genoa: Italy’s Underrated Maritime Gem,/images/posts/genoa-italy-s-underrated-maritime-gem.jpg,0,needs images,
a-weekend-in-syracuse-sicily-s-ancient-jewel,A Weekend in Syracuse: Sicily’s Ancient Jewel,/images/posts/a-weekend-in-syracuse-sicily-s-ancient-jewel.jpg,3,generally sufficient,
